Video Time,Commenter,Time,Comment,cleaned_comment,cluster
,Md Hasan Nkkhan,,মাশাআল্লাহ,মাশাআল্লাহ,1
,Voice of Another,,আমরা সবাই বাংলাদেশর দালাল হতে চাই,আমরা সবাই বাংলাদেশর দালাল হতে চাই,1
,Md Emon9126,,ইসকন নিষিদ্ধ করা হোক,ইসকন নিষিদ্ধ করা হোক,3
,Rakib,,ইনকিলাব জিন্দাবাদ,ইনকিলাব জিন্দাবাদ,3
,ToTo MaN BD,,আফসোসলীগ গুলো কোই,আফসোসলীগ গুলো কোই,1
,Naba,,Please ensure the voice of the 24 revolution reflected in running our affairs in your reform. Make sure these revolutionaries do not loose in oblivion. Don’t allow the old and expired to snatch it.,please ensure the voice of the 24 revolution reflected in running our affairs in your reform make sure these revolutionaries do not loose in oblivion don t allow the old and expired to snatch it,2
,Muhammad Miad 0.2,,জালেম লীগ,জালেম লীগ,1
,shahid shah,,আপনার জন্য অনেক দোয়া রইল স্যার,আপনার জন্য অনেক দোয়া রইল স্যার,3
,Mohammad Sumon,,নৌকা,নৌকা,0
,Noore Alam,,নৌকা,নৌকা,0
,Roy LX,,জয় বাংলা জয় বঙ্গবন্ধু,জয় বাংলা জয় বঙ্গবন্ধু,4
,Rafi Ahmed,,"স্যার, নির্বাচন কবে দিবেন?",স্যার নির্বাচন কবে দিবেন,3
,SUHEL RANA,,নাটক কম করো পিও,নাটক কম করো পিও,2
,Times-Meta,,দেশের বর্তমান অর্থ নীতি পরিস্থিতি খুব খারাপ ২০ কোটি মানুষের কথা চিন্তা করেন দেশে প্রতিদিন আন্দোলন মিছিল আর ভালো লাগছে না মানুষ অনেক কষ্টের মধ্যে আছে,দেশের বর্তমান অর্থ নীতি পরিস্থিতি খুব খারাপ ২০ কোটি মানুষের কথা চিন্তা করেন দেশে প্রতিদিন আন্দোলন মিছিল আর ভালো লাগছে না মানুষ অনেক কষ্টের মধ্যে আছে,3
,Nutri,,harpic league chole asche,harpic league chole asche,2
,Shoruv Hasan,,একজন ভালো মানুষ,একজন ভালো মানুষ,1
,Tirtha Sarkar,,জয় বাংলা,জয় বাংলা,4
,PM ARAFAT CHOWDHURY,,"জয় বাংলা, জয় বঙ্গবন্ধু",জয় বাংলা জয় বঙ্গবন্ধু,4
,imranbin 2002,,আপনি আরো স্ট্রং হোন,আপনি আরো স্ট্রং হোন,3
,Reksona Halsana,,right sir,right sir,2
,aitullakhan shaheb,,কথায় আমাদের পেট ভরবে না আমরা সংস্কার দৃশ্যমান দেখতে চাই।,কথায় আমাদের পেট ভরবে না আমরা সংস্কার দৃশ্যমান দেখতে চাই,3
,Joy Khan,,dadu chole jaw,dadu chole jaw,2
,Fardin Islam,,joy bongobondhu,joy bongobondhu,2
,FreeFire lover,,শুভ কামনা রইল সরকারের জন্য,শুভ কামনা রইল সরকারের জন্য,3
,Sahidul Islam,,Joy Bangla Jai bangabandhu,joy bangla jai bangabandhu,2
,MD Shamaun Morol,,সুধখোর,সুধখোর,3
,sanjoy sarker,,joy bangla,joy bangla,2
,Md Salim,,ক্ষমতার হাত বদল হয়েছে,ক্ষমতার হাত বদল হয়েছে,2
,Md.Mahmudul Hasan,,কি করলেন এই ১০০ দিনে?,কি করলেন এই ১০০ দিনে,2
,MD Shafiqul Islam,,কাতার থেকে,কাতার থেকে,0
,"Md,Nazir Hossain Hossain",,ভালো কিছু আশা করছি,ভালো কিছু আশা করছি,2
,UNKNOWN CREATOR,,iskon er maire cdi,iskon er maire cdi,2
,Mohammad Sumon,,শেখ হাসিনার সরকার বার বার দরকার,শেখ হাসিনার সরকার বার বার দরকার,3
,PM ARAFAT CHOWDHURY,,নৌকা,নৌকা,0
,Hacking_Comunity_Bangladesh[HCB],,joy Bangla,joy bangla,2
,ABID MUBIN,,amar free fire,amar free fire,2
,Shofiqul Islam,,bnp,bnp,2
,md mamun,,আওয়ামী লীগ নিপাত যাক বাংলাদেশ জিন্দাবাদ,আওয়ামী লীগ নিপাত যাক বাংলাদেশ জিন্দাবাদ,3
,Ra Rumon,,জয় বাংলা,জয় বাংলা,4
,Mohaimen Polok,,মালাউন লীগ চলে আসছে,মালাউন লীগ চলে আসছে,1
,Fardin Islam,,JOY BONGOBONDHU,joy bongobondhu,2
,Nahid Islam official,,ফারকির অপসারন চাই,ফারকির অপসারন চাই,0
,Riyad Hossen,,joy bangla,joy bangla,2
,Abc@123,,"আলহামদুলিল্লাহ,,,, আওয়ামী সৈরাচার মুক্ত বাংলাদেশ চাই",আলহামদুলিল্লাহ আওয়ামী সৈরাচার মুক্ত বাংলাদেশ চাই,1
,Mr. Sharif,,সাংবাদিক ইলিয়াস ভাই কে উপদেষ্টা বানানো হোক,সাংবাদিক ইলিয়াস ভাই কে উপদেষ্টা বানানো হোক,0
,বাল ফেলা,,প্রবাসিদের জন্য ত কিছুই করলেন না ভাই,প্রবাসিদের জন্য ত কিছুই করলেন না ভাই,3
,ToTo MaN BD,,আফসোসলীগ,আফসোসলীগ,2
,Md Tarikul Islam Taj,,এত দুর্বল হয়ে কি দেশ চালানো যায়?? ফখরুদ্দিনের মত কঠোর হতে হবে।,এত দুর্বল হয়ে কি দেশ চালানো যায় ফখরুদ্দিনের মত কঠোর হতে হবে,3
,Mamun Mamun,,শেখ হাসিনার হাতে বাংলাদেশ নিরাপদ,শেখ হাসিনার হাতে বাংলাদেশ নিরাপদ,3
,SITI COMPUTER,,স্যার উপদেষ্টা কিভাবে কি নিয়মে নেয়া হয় কিছুই বুঝলাম না,স্যার উপদেষ্টা কিভাবে কি নিয়মে নেয়া হয় কিছুই বুঝলাম না,0
,ajharul islam,,পৃথিবীর ইতিহাসে কোন স্বৈরাচার ও ফ্যাসিস কখনো ফিরে আসে না আওয়ামী লীগ ও আর ফিরবে না কারণ ওরা নাস্তিক ওরা ভারতের এজেন্ট মুদির গোলাম ওরা বাংলাদেশকে ভারতের একটা অঙ্গরাজ্য বানাতে চাইছে,পৃথিবীর ইতিহাসে কোন স্বৈরাচার ও ফ্যাসিস কখনো ফিরে আসে না আওয়ামী লীগ ও আর ফিরবে না কারণ ওরা নাস্তিক ওরা ভারতের এজেন্ট মুদির গোলাম ওরা বাংলাদেশকে ভারতের একটা অঙ্গরাজ্য বানাতে চাইছে,3
,Hasan vai,,sir,sir,2
,Md Hsn,,স্বৈরাচার বাংলাদেশে কোন ঠাঁই নাই,স্বৈরাচার বাংলাদেশে কোন ঠাঁই নাই,0
,Jehad Entertainment,,জয় বাংলা জয় বঙ্গবন্ধু,জয় বাংলা জয় বঙ্গবন্ধু,4
,sanjoy sarker,,joy Bangla,joy bangla,2
,MD Ibrahim Hossain,,আওয়ামী লীগ দল নিষিদ্ধ করতে হবে,আওয়ামী লীগ দল নিষিদ্ধ করতে হবে,1
,Mostafa Ahasan,,হারপিকলীগ,হারপিকলীগ,1
,KASHEM KOREA,,from south Korea. salute sir,from south korea salute sir,2
,Rubal Ahamed,,জয় বাংলা ভোট হলে এখনো ৪০% ভোট আওয়ামীলীগ পাবে,জয় বাংলা ভোট হলে এখনো ৪০ ভোট আওয়ামীলীগ পাবে,1
,Md Milon sorif,,মিথ্যাবাদী,মিথ্যাবাদী,3
,Movie Story,,apni jaben Kobe,apni jaben kobe,2
,motiur Rahman Roll-110,,আফসোস লীগের প্রেতাত্মাদের কোন ক্ষমা নাই,আফসোস লীগের প্রেতাত্মাদের কোন ক্ষমা নাই,3
,Abc@123,,আওয়ামী সৈরাচার মুক্ত হোক বাংলাদেশ,আওয়ামী সৈরাচার মুক্ত হোক বাংলাদেশ,3
,Md Sumon Ahamed,,কঠোন শাসন গঠন করেন।,কঠোন শাসন গঠন করেন,2
,Duke Haris900,,"কাজের কথা বলেন স্যার ,ওইসব আবেগী কথা বাদ দেন ।",কাজের কথা বলেন স্যার ওইসব আবেগী কথা বাদ দেন,3
,**আগন্তুক**,,তুমি তো মেয়াদউত্তীর্ণ,তুমি তো মেয়াদউত্তীর্ণ,3
,Md Ali Hossain,,ইউনুস সরকার সবচেয়ে বড় স্বৈরাশাসক।,ইউনুস সরকার সবচেয়ে বড় স্বৈরাশাসক,3
,PM ARAFAT CHOWDHURY,,বঙ্গবন্ধু মানে বাংলাদেশ,বঙ্গবন্ধু মানে বাংলাদেশ,3
,MD RUBEL,,জয় বাংলা জয় বঙ্গবন্ধু জয় শেখ হাসিনার,জয় বাংলা জয় বঙ্গবন্ধু জয় শেখ হাসিনার,4
,GANGSTER,,go ahead we are with u,go ahead we are with u,2
,Md. Sultan Mehedi Tutul,,Good job,good job,2
,বাংলাদেশ হৃদয়,,polaisere polaise hasina polaise,polaisere polaise hasina polaise,2
,Emu Akther,,i fuck amilig,i fuck amilig,2
,SHEIKH RASEL Official,,আওয়ামী লীগ,আওয়ামী লীগ,1
,Bby Bbu,,জয়বল্টু,জয়বল্টু,2
,Mr. Sharif,,সাংবাদিক ইলিয়াস হোসেন ভাই কে উপদেষ্টা বানানো হোক,সাংবাদিক ইলিয়াস হোসেন ভাই কে উপদেষ্টা বানানো হোক,0
,Asadul Islam Akand,,জয় বাংলা জয় বঙ্গবন্ধু,জয় বাংলা জয় বঙ্গবন্ধু,4
,Fardin Islam,,JOY BONGOBNDHU,joy bongobndhu,2
,Mithon Gadget & view,,জয় বাংলা ঘটি বাটি সামলা,জয় বাংলা ঘটি বাটি সামলা,4
,PM ARAFAT CHOWDHURY,,বুয়া,বুয়া,3
,H. Belal,,জামায়াত প্রেমিক,জামায়াত প্রেমিক,3
,Firo,,sr,sr,2
,Hossain Masum,,হা হা,হা হা,1
,opps,,ইউসুফ কাকু সমকামী,ইউসুফ কাকু সমকামী,2
,Ibrahim Miah,,joy bangla,joy bangla,2
,TOM Harper,,awami lig sontrasi dol,awami lig sontrasi dol,2
,Md Mobin,,আমি আমার ঘর থেকে,আমি আমার ঘর থেকে,2
,Siam Mahmood,,Joy Bangla tomader pison diye vhorbo,joy bangla tomader pison diye vhorbo,2
,SHEIKH RASEL Official,,জয় বাংলা,জয় বাংলা,4
,Nahid Islam official,,"ফারুকির অপসারন চাই,ফারুকির অপসারন চাই",ফারুকির অপসারন চাই ফারুকির অপসারন চাই,0
,Nachima Begum,,"যাই বলেন স্যার,দেশ নিয়ে কেউ ভাবে না। যে যায় লঙ্কায় সে হয় রাবন। ফারুকী, বশির কিভাবে উপদেষ্টা হয়??????",যাই বলেন স্যার দেশ নিয়ে কেউ ভাবে না যে যায় লঙ্কায় সে হয় রাবন ফারুকী বশির কিভাবে উপদেষ্টা হয়,0
,Tanvir Raihan,,ড: ইউনুস,ড ইউনুস,2
,Asadul Hossain,,সারা আউটসোর বেতন পাচ্ছে না,সারা আউটসোর বেতন পাচ্ছে না,3
,Mohammad Sumon,,গ্রামিন সরকার,গ্রামিন সরকার,3
,Binodon Station,,সুদিইউনুস হটাও বাংলাদেশকে বাঁচাও,সুদিইউনুস হটাও বাংলাদেশকে বাঁচাও,3
,Muhammad Junayed Hussain,,Profesor Unus,profesor unus,2
,Yousuf Ali,,lige dar khob jole,lige dar khob jole,2
,dr mamun,,জয় বাংলা,জয় বাংলা,4
,Sathi Akter,,val cirtecho.,val cirtecho,2
,Abc@123,,আওয়ামী সৈরাচার মুক্ত বাংলাদেশ চাই,আওয়ামী সৈরাচার মুক্ত বাংলাদেশ চাই,0
,Sohel Rana,,Malaysia,malaysia,2
,md babul,,নৌকা,নৌকা,0
,Roy LX,,বাংলাদেশ ছাত্রলীগ,বাংলাদেশ ছাত্রলীগ,3
,Innocent,,জয় বংখভন্ডু,জয় বংখভন্ডু,4
,Amir Khan,,ফারুকী কে বহিষ্কার করতে হবে।,ফারুকী কে বহিষ্কার করতে হবে,0
,S.M JAH,,awami league,awami league,2
,Al imran Sabbir,,হাসিনার বিচার চাই,হাসিনার বিচার চাই,0
,dabi. niamotpur,,জয়বাংলা,জয়বাংলা,4
,স্বাধীন বাংলাদেশ ☺️,,আপনার কথা এখন ভিটিবি তে সায়ানের গানের মতো লাগে…. বড় সাব,আপনার কথা এখন ভিটিবি তে সায়ানের গানের মতো লাগে বড় সাব,3
,Mahbub Rashid,,how many police and others died,how many police and others died,2
,MD Shafiqul Islam,,BNP,bnp,2
,MD RUBEL,,জয় বাংলা জয় শেখ হাসিনার,জয় বাংলা জয় শেখ হাসিনার,4
,Animals Lover,,জয় বাংলা জয় বঙ্গবন্ধু,জয় বাংলা জয় বঙ্গবন্ধু,4
,Hossain Masum,,কোন লাভ হবে না,কোন লাভ হবে না,1
,World Sports,,আফসোস লীগ চলে আইছে,আফসোস লীগ চলে আইছে,2
,PM ARAFAT CHOWDHURY,,জয় বাংলা,জয় বাংলা,4
,Rubal Ahamed,,জয় বাংলা জয় বঙ্গবন্ধু,জয় বাংলা জয় বঙ্গবন্ধু,4
,Ajijul Md Ajijul,,নারে তাকবীর আল্লাহু আকবার,নারে তাকবীর আল্লাহু আকবার,1
,MD Rakibul Hasan,,Allah apnare dirgho ayo dan kruk,allah apnare dirgho ayo dan kruk,2
,Mostafa Ahasan,,তারেক রহমান আসছে,তারেক রহমান আসছে,2
,Atikur Rahman,,নিজে কি করছেন..?,নিজে কি করছেন,3
,Lovelu Hosen,,ইনকিলাব জিন্দাবাদ।,ইনকিলাব জিন্দাবাদ,3
,Rs Gaming,,জয় বাংলা,জয় বাংলা,4
,Uzzal Hasan,,চলতে থাকুক সংস্কার।,চলতে থাকুক সংস্কার,0
,CK Abdur Rahman,,জয় বাংলা জয় বঙ্গবন্ধু ইনশাআল্লাহ,জয় বাংলা জয় বঙ্গবন্ধু ইনশাআল্লাহ,4
,Suja Khan,,"স্যার, পাঁচ বছর কমপক্ষে থাকেন স্যার, সকল সংস্কার শেষে নির্বাচন তার আগে নির্বাচন নয় স্যার, মনে রাখতে হবে এটাই জাতি গড়ার শেষ সুযোগ",স্যার পাঁচ বছর কমপক্ষে থাকেন স্যার সকল সংস্কার শেষে নির্বাচন তার আগে নির্বাচন নয় স্যার মনে রাখতে হবে এটাই জাতি গড়ার শেষ সুযোগ,3
,Jihad Media Squad,,"জয় বাংলা জয় বঙ্গবন্ধু, কঠিন বিচারের জন্য প্রস্তুত হও ইউনুস",জয় বাংলা জয় বঙ্গবন্ধু কঠিন বিচারের জন্য প্রস্তুত হও ইউনুস,4
,Raja Rangpuri,,সুন্দর সুন্দর কথা আর বিখ্যাত লোকদের সাথে ফটোসেশন বন্ধ করে দেশের সাধারণ মানুষের কথা ভাবুন।,সুন্দর সুন্দর কথা আর বিখ্যাত লোকদের সাথে ফটোসেশন বন্ধ করে দেশের সাধারণ মানুষের কথা ভাবুন,3
,Sharif Hossain,,জয় বাংলা জয় বাংলা,জয় বাংলা জয় বাংলা,4
,Hossain Masum,,কোন লাভ হবে না ব্যর্থ হয়ে গিয়েছেন,কোন লাভ হবে না ব্যর্থ হয়ে গিয়েছেন,3
,shimul hossain,,জয় বাংলা জয় বঙ্গবল্টু,জয় বাংলা জয় বঙ্গবল্টু,4
,Fardin Islam,,NOUKAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,noukaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2
,MD RAKIB MIA,,joy Bangla,joy bangla,2
,MD MOTIAR RAHMAN,,তুমি কেনে আহত হইলা না,তুমি কেনে আহত হইলা না,2
,Farhan Monsur,,সোনাভানের পুথি আর কত শুনবো।,সোনাভানের পুথি আর কত শুনবো,3
,Voice of Kasba,,কমেন্ট গুলো দেখে আমি হতাশ....,কমেন্ট গুলো দেখে আমি হতাশ,1
,Rafi Ahmed,,হিরো আলমকে উপদেষ্টা বানানো হোক।,হিরো আলমকে উপদেষ্টা বানানো হোক,0
,Shahin Alam,,বশির উদ্দিন এবং মোস্তফা সরয়ার ফারুকী পদত্যাগ চাই চাই দিতে হবে,বশির উদ্দিন এবং মোস্তফা সরয়ার ফারুকী পদত্যাগ চাই চাই দিতে হবে,0
,Md Imran,,জয় বাংলা জয় বঙ্গবন্ধু,জয় বাংলা জয় বঙ্গবন্ধু,4
,Md Tarikul Islam Taj,,"৫ মাস থেকে বেতন পাইনা,,এর দায় কার??",৫ মাস থেকে বেতন পাইনা এর দায় কার,3
,Rasel Islam,,আলহামদুলিল্লাহ,আলহামদুলিল্লাহ,1
,joy,,জয় বাংলা জয় বঙ্গবন্ধু,জয় বাংলা জয় বঙ্গবন্ধু,4
,SARA RAHMAN,,জয় বাংলা,জয় বাংলা,4
,Sajjat Shake,,thanks,thanks,2
